movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
2598,The Lego Ninjago Movie,2017,PG,90 minutes,"Action & Adventure, Animation, Comedy, Kids & Family",,"$58,938,889",Charlie Bean,"Jackie Chan, Justin Theroux, Dave Franco, Olivia Munn, Fred Armisen, Abbi Jacobson, Kumail Nanjiani, Michael Peña, Zach Woods","Hilary Winston, Bob Logan, Paul Fisher",54%,46%
2599,Loitering With Intent,2015,NR,80 minutes,"Comedy, Drama",,,Adam Rapp,"Iván Martín, Michael Godere, Marisa Tomei, Brian Geraghty, Sam Rockwell, Natasha Lyonne, Aya Cash, Britne Oldford, Penny Rockwell, Samantha York, Sam Waterston, Nick Lawson, Brad Heberlee, Terry Knickerbocker, Mike Swift, Patch Darragh, Isabelle McNally, Frances Serro, Benny the Boxer","Iván Martín, Michael Godere",31%,28%
2600,Le passé,2013,PG-13,130 minutes,Drama,,,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet, Elyes Aguis, Jeanne Jestin, Sabrina Ouazani, Babak Karim, Valeria Cavalli",Asghar Farhadi,93%,83%
2601,Boulevard,2015,R,88 minutes,"Drama, Special Interest",,"$46,743",Dito Montiel,"Robin Williams, Kathy Baker, Roberto Aguire, Bob Odenkirk, Giles Matthey, Eleonore Hendricks, J. Karen Thomas, Landon Marshall, Henry Haggard, Gary Gardner, Crystal Gray, Sondra Morton Chaffin, Jerry Chipman, Steven Randazzo, Brandon Hirsch, David Ditmore, Billy Lewis, Reegus Flenory, Gary Willis, Joshua Decker, Becky Fly",Douglas Soesbe,52%,29%
2602,Marathon: The Patriots Day Bombing,2016,NR,120 minutes,Documentary,,,"Ricki Stern, Anne Sundberg",,"Ricki Stern, Anne Sundberg",90%,85%
2603,Deidra & Laney Rob a Train,2017,NR,90 minutes,Comedy,,,Sydney Freeland,"Ashleigh Murray, Rachel Crow, Danielle Nicolet, Tim Blake Nelson, Sasheer Zamata, Missi Pyle, Sharon Lawrence",Shelby Farrell,90%,59%
2604,Beyond the Lights,2014,PG-13,102 minutes,Drama,,"$14,617,945",Gina Prince-Bythewood,"Gugu Mbatha-Raw, Nate Parker, Minnie Driver, Danny Glover, Machine Gun Kelly, Darryl Stephens, Elaine Tan, Isaac Keys, Tyler Christopher, Benito Martinez, Aisha Hinds, India Jean-Jacques, Deidrie Henry, Estelle, Malieek Straughter, Brandon Wilson, Jordan Belfi, Greg Davis Jr, Sky Soleil, Hayley Marie Norman, Robert Locke, Laurie-Anne Gibson, Aml Ameen, Jesse  Woodrow, Onahoua Rodriguez, Wren T. Brown, Sean Anderson, Irving Whitlow, Wade Allain-Marcus, Ithamar Enriquez, Erika Ringor, Chris Barnes, Hector Bucio, Tom Wright, Tina D'Marco, Amy Johnson, Debra Lee Ortega, Roland Martin, Mark Ridley Thomas, Chaka Khan, Amare Stoudemire, Don Lemon, Gayle King, DeAndre Jordan, James Hardy, Ashley Hamilton, Brandee Evans, Christina Webber, Anisha Gibbs",Gina Prince-Bythewood,83%,75%
2605,Wolf,2013,NR,77 minutes,"Action & Adventure, Documentary, Drama, Mystery & Suspense",,,Jim Taihuttu,"Marwan Kenzari, Chems Eddine Amar, Bo Maerten, Mark Catuogno, Bo Maertens, Steef Cuijpers, Raymond Thiry, Chemseddine Amar, Nasrdin Dchar, Slimane Dazi",Jim Taihuttu,67%,67%
2606,The Finest Hours,2016,PG-13,117 minutes,"Action & Adventure, Drama, Mystery & Suspense",,"$20,278,493",Craig Gillespie,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana, Josh Stewart, Holliday Grainger, John Ortiz, Kyle Gallner, Graham McTavish, Rachel Brosnahan, John Magaro, Michael Raymond-James, Ben Koldyke, Abraham Benrubi, Keiynan Lonsdale, Beau Knapp, Kristen Annese, Larry Eudene, Matthew Maher, London Hall, Patrick Walsh, Alexander Cook, Kate Jurdi, Karl Carlo Green, Ernest Anemone, John Gigliotti, Michael Steven Swanson, Jesse Gabbard, Joseph Oliveira, Steve Rasetta, Justin Blanchard, Kate Crowley, Roberto Lopez, Robert Glenn, Angela Hope Smith, Jay Street, Harley Harrison, Stew Replogle, Danny Connelly (II), George J. Vezina, Michael Marchand, Gene Harrison, David Riccio, Jr., David Riccio Jr., Nicholas Varga, Lance Norris, Bobby Kenney, Polly Pillsbury, Michael Maggiani, Trevor Dylan, Rachel Ramey, Savannah Rae Allen, Carl M. Reppucci, John Vincent Mason, Joseph E.G. Barrett, Doug McHugh, Joseph Aubrey II, Joseph Aubrey II, Thomas Brogan, Savanna Young-Norris, Savanna Young","Eric Johnson, Paul Tamasy, Scott Silver",64%,66%
2607,"Like Sunday, Like Rain",2015,R,104 minutes,"Drama, Musical & Performing Arts",,"$27,623",Frank Whaley,"Billie Joe Armstrong, Debra Messing, Conor Carroll, Leighton Meester, Olga Merediz, Julian Shatkin",Frank Whaley,50%,65%
2608,Top Five,2014,R,101 minutes,Comedy,,"$17,002,433",Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union, Romany Malco, Leslie Jones, Kevin Hart, Whoopi Goldberg, Adam Sandler, Jerry Seinfeld, Tracy Morgan, Cedric the Entertainer, JB Smoove, Sherri Shepherd, Anders Holm, Michael Che, Jay Pharoah, Greta Lee, Hayley Marie Norman, Annaleigh Ashford, Genevieve Angelson, Ben Wood, Ben Vereen, Hassan Johnson, Nancy Castro, Claudette Lali, Karlie Redd, Jen Jacob, Laurissa Romain, Tom Papa, Matthew Wilkas, Ice Aysun Leidl, Olga Merediz, Rick Shapiro, Rachel Feinstein, Stacey Sargeant, Stefano Villabona, Griffin Newman, Vivian Chiu, Deborah Meister, Deborah Offner, Dean Edwards, Dominic Colón, Liam Ferguson, Dylan Caltabiano, Vivian Nixon, Amelia Fowler, Aaron Clifton Moten, Dolores Winn, Angela Lewis, Rachel Caccese, Phillip Boykin, Krista Tunnell, Teddy Coluca, Alberto Vasquez, Paugh Shadow, Lorna Pruce, Anthony Ferretti, Volieda Webb, Joseph Basile, Atif Lanier, Danny Bolero, Shani Marquise, Preston Sadleir, Daniel Goldsmith, Peter Iasillo Jr., Dan Hooks, Peter Iasillo, Richard R. Corapi, Corey Brown, J. David Blatt, Alan Davis, Stephen Sapienza, Christian Frazier, Julie E. Davis, Andre Ward, Marco Palou, Teeka Duplessis, Aaron Salley, Pasha Sol, Gary M. LaSasso, Chelsea Meyer, William L. Bozarth, John Austin Wiggins, Derek Peith, Nelson Rivera, Elleen Hannah, Charlie Rose, Gabourey Sidibe, DMX, Jim Norton (II)",Chris Rock,86%,64%
2609,The Prince,2014,R,103 minutes,Drama,,,Brian A. Miller,"Jason Patric, Bruce Willis, John Cusack, 50 Cent, Johnathon Schaech, Rain, Gia Mantegna, Jessica Lowndes, Jung Ji Ah-Hoon, Jung Ji-hoon, Tara Holt, Courtney Turk, Natalie Light, Don Harvey, Jaylen Moore, Tyler Olson, Tim Fields, Ginger McNamara, Ryan Sanson, Michelle Jones, Danielle Phelan, Jesse Pruett, Billy Culbertson, Jonathan Carkeek, Didi Costine","Jeremy Passmore, Fabrizio De Andre",0%,24%
2610,Jafar Panahi's Taxi,2015,NR,82 minutes,Documentary,,"$321,642",Jafar Panahi,Jafar Panahi,Jafar Panahi,96%,79%
2611,Sound City,2013,NR,108 minutes,"Documentary, Musical & Performing Arts",,"$419,361",Dave Grohl,"Dave Grohl, Joe Barresi, Butch Vig, Kevin Cronin, Josh Homme, Lee Ving, Jim Scott, Nick Raskulinecz, Rick Rubin, Siobhán O'Brien, Shivaun O'Brien, Paul Salvatore, Chris Goss, Stevie Nicks, Rick Springfield, Vinny Appice, Rick Nielsen, Rick Neilson, Keith Olsen, Lars Ulrich, Trent Reznor, Brad Wilk, Mike Campbell, Mick Fleetwood, Corey Taylor, Tom Skeeter, Neil Young, Sandy Skeeter, Barry Manilow, John Fogerty, Rupert Neve, Lindsey Buckingham, Taylor Hawkins, Omar Hakim, James Brown (II), Jim Keltner, Benmont Tench, Tom Petty, Neil Giraldo, Stephen Pearcy, Ross Robinson, Pat Smear, Warren DeMartini, Krist Novoselic, Tim Bob Commerford, Frank Black, Robert Levon Been",Mark Monroe,100%,90%
2612,Paterson,2016,R,115 minutes,"Comedy, Drama",,"$2,141,423",Jim Jarmusch,"Adam Driver, Golshifteh Farahani, Barry Shabaka Henley, Chasten Harmon, William Jackson Harper, Brian McCarthy, Luis Da Silva Jr., Jared Gilman, Kara Hayward, Method Man, Sterling Jerins, Jaden Michael, Masatoshi Nagase, Nellie, Rizwan Manji, Dominic Liriano, Frank Harts, Johnnie Mae, Trevor Parham, Troy Parham, Kacey Cockett, Helen-Jean Arthur, Joan Kendall, Owen Asztalos, Jorge Vega, Sophia Muller",Jim Jarmusch,96%,71%
2613,Girlhood,2015,NR,113 minutes,Drama,,"$60,019","Céline Sciamma, Céline Sciamma","Assa Sylla, Lindsay Karamoh, Karidja Touré, Marietou Touré, Idrissa Diabate, Simina Soumare, Cyril Mendy, Djibril Gueye","Céline Sciamma, Céline Sciamma",96%,73%
2614,The Living,2015,R,89 minutes,"Drama, Mystery & Suspense",,"$5,374",Jack Bryan,"Fran Kranz, Jocelin Donahue, Kenny Wormald, Chris Mulkey, Joelle Carter",Jack Bryan,50%,34%
2615,Magic Mike XXL,2015,R,115 minutes,Comedy,,,Gregory Jacobs,"Channing Tatum, Matt Bomer, Joe Manganiello, Kevin Nash, Adam Rodriguez, Gabriel Iglesias, Amber Heard, Donald Glover, Andie MacDowell, Elizabeth Banks, Jada Pinkett Smith, Michael Strahan, Juan Piedrahita, Sharon Blackwood, Alison Faulk, Josh Diogo, Vicky Vox, Javier Madrid, Dashaun Wesley Williams, Carrie Anne Hunt, Crystal Hunt, Raeden Greer, Lindsey N. Moser, Savannah Southern-Smith, Mel Chude, Stephen Boss, Luke Broadlick, Belle Eseoghene Omabele, Julia Black, Kimberley Drummond, Judi Blair, Valerie Payton, Tequilla Whitfield, Sydney Sims, Jane McNeil, Rhoda Griffis, Ann Hamilton, Mary Kraft, Brandon Suave, Tyler Shackelford, George Bruer, Chad Darnell, Adam Martingano, Viktor Derkach, Billy Reilich, Deidre Goodwin, Natalie Pero, Sarah Bassak, Kathy Deitch, Haviland Stillwell, Sonya Golub, Teresa Espinosa, Eboni A. Johnson","Channing Tatum, Reid Carolin",65%,56%
2616,My Little Pony: The Movie,2017,PG,,"Action & Adventure, Animation, Comedy",,"$21,732,671",Jayson Thiessen,"Tabitha St. Germain, Cathy Weseluck, Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña, Sia Furler, Taye Diggs, Uzo Aduba, Zoe Saldana, Nicole Oliver, Tara Strong, Ashleigh Ball, Andrea Libman","Joe Ballarini, Meghan McCarthy, Rita Hsiao, Michael Vogel",47%,77%
2617,Tracers,2015,PG-13,90 minutes,Action & Adventure,,,Daniel Benmayor,"Taylor Lautner, Marie Avgeropoulos, Rafi Gavron, Adam Rayner, Sam Medina","Leslie Bohem, Matt Johnson, Kevin Lund, T.J. Scott",26%,37%
2618,ClownTown,2016,NR,82 minutes,Horror,,,Tom Nagel,"Brian Nagel, Lauren Elise, Andrew Staton, Katie Keene, Lauren Compton, Jeff Denton, Tom Nagel, Maryann Nagel, Greg Violand, David Greathouse, David H. Greathouse, Ryan Pilz, Maryanne Nagel, Christopher Lawrence Chapman, Nathan D. Goins, Thomas A. Nagel, Kaitlyn Sapp, Chris Hahn, Dyan Beder, Nathan Goins, Jr., Ava Joy Anselmo, Jami Kinton, Franklin Purtiman, Isabella Sofia Menna, Isabella Sophia Menna, Alan Tuskes, Ken Stachnik, Katlyn M. Nagel, Jeff Miller, David Kirst, Katlyn Nagel, Jessyca Grossheim, Debra Nagel, Lynn Milliron",Jeff Miller,10%,33%
2619,The Similars,2016,NR,89 minutes,"Art House & International, Science Fiction & Fantasy",,,Isaac Ezban,"Gustavo Sanchez Parra, Cassandra Ciangherotti, Fernando Becerril, Humberto Busto, Carmen Beato, María Elena Olivares, María Elena Olivares, Catalina Salas, Santiago Torres, Alberto Estrella, Luis Alberti",Isaac Ezban,95%,47%
2620,Australia's Lost Gold,2016,NR,104 minutes,Documentary,,,Luke Walker,"Bob Lasseter, Luke Walker, Elsie Lasseter, Murray Hubbard, Barry McGowan, Bob Ross, Paul Brunton, Alison Coote, Dick Smith, Chris Edgoose, Graeme Wheeler, Ann Gugler, Mary Ralston, Keith Chambers, Faye Johnson, Mark Chambers, Beverly Eley, Alan Buck, Sidney James, Lowell Thomas, Dick Kimber, Sandy Willy, James Mason",Luke Walker,86%,66%
2621,The Mummy,2017,PG-13,120 minutes,"Action & Adventure, Drama, Horror",,"$80,072,590",Alex Kurtzman,"Tom Cruise, Russell Crowe, Annabelle Wallis, Sofia Boutella, Jake Johnson (XVI), Courtney B. Vance, Marwan Kenzari, Simon Atherton, Sean Cameron Michael, Rez Kempton, Stephen Thompson, James Arama, Matthew Wilkas, Sohm Kapila, Erol Ismail, Selva Rasalingham, Shanina Shaik, Javier Botet, Hadrian Howard, Dylan Smith, Parker Sawyers, Neil Maskell, Rhona Croker, Andrew Brooke, Timothy Allsop, Grace Chilton, Hannah Ankrah","David Koepp, Christopher McQuarrie, Dylan Kussman",16%,36%
2622,Rob the Mob,2014,R,104 minutes,"Comedy, Drama",,"$206,909",Raymond De Felitta,"Michael Pitt, Nina Arianda, Andy Garcia, Ray Romano, Griffin Dunne, Michael Rispoli, Yul Vázquez, Frank Whaley, Burt Young, Samira Wiley, Aida Turturro, Garry Pastore, Adam Trese, Cathy Moriarty, Jeremy Allen White, Brian Tarantina, William Raymond, Bruce Altman",Jonathan Fernandez,84%,56%
2623,The Horror of H.P. Lovecraft,2006,NR,87 minutes,"Comedy, Horror, Science Fiction & Fantasy",,,"Brian Bernhard, Grady Granros, Justin Powers, Elias, Jane Rose, Ashley Thorpe, Tomas Almgren, Simon Ruben, Brian Barnes, Doug Sakmann","Matt Renicks, Tom Wontner, Chad Bernhard, Lloyd Kaufman, Dan Payne, Joanna Angel",,40%,31%
2624,Blind,2017,R,106 minutes,Drama,,"$11,700",Michael Mailer,"Alec Baldwin, Demi Moore, Dylan McDermott, Eden Epstein, Viva Bianca, James McCaffrey, Renee Willett, Jabari Gray, Ski Carr, Drew Moerlein, Valence Thomas, John Buffalo Mailer","John Buffalo Mailer, Diane Fisher",20%,46%
2625,Heal the Living,2017,NR,104 minutes,"Art House & International, Drama",,"$3,176",Katell Quillévéré,"Tahar Rahim, Emmanuelle Seigner, Anne Dorval, Bouli Lanners, Kool Shen, Monia Chokri, Alice Taglioni","Gilles Taurand, Katell Quillévéré",91%,70%
2626,1982,2013,R,86 minutes,Drama,,,Tommy Oliver,"Hill Harper, Bokeem Woodbine, La La Anthony, Quinton Aaron, Wayne Brady",Tommy Oliver,71%,57%
2627,The Ice Cream Truck,2017,NR,96 minutes,"Comedy, Horror",,,Megan Freels Johnston,"Deanna Russo, Emil Johnsen, Hilary Barraford, Jeff Daniel Phillips, John Redlinger, Lisa Ann Walter",Megan Freels Johnston,67%,38%
2628,Yoga Hosers,2016,PG-13,88 minutes,"Action & Adventure, Comedy",,,Kevin Smith,"Lily-Rose Depp, Harley Quinn Smith, Johnny Depp, Justin Long, Haley Joel Osment, Natasha Lyonne, Genesis Rodriguez, Ralph Garman, Harley Morenstein, Tony Hale, Austin Butler, Adam Brody, Tyler Posey, Jason Mewes, Kevin Smith, Jennifer Schwalbach Smith, Vanessa Paradis, Stan Lee, David S. Greathouse, Robert Kurtzman",Kevin Smith,19%,34%
2629,The Anonymous People,2014,NR,88 minutes,"Documentary, Special Interest",,,Greg D. Williams,"Michael Askew, Tara Conner, Roxanne Kibben, Phil Valentine, Chris Herren, William Cope Moyers, Johnny Allem, Kristen Johnston, Danielle Tarino, Susan Broderick, Stacia Murphy, Nell Hurley, Tom Hedrick, Carol McDaid, Tom Hill, Bill White, Maetta Broadus, Jim Ramstad, Neil Kaltenecker, Don Fertman, Dan Griffin, Laura Elliott-Engel","Jeff Reilly, Greg D. Williams, Bud Mikhitarian, Aaron Cohen",43%,67%
2630,Nerdland,2016,NR,85 minutes,Drama,,,Chris Prynoski,"Paul Rudd, Patton Oswalt, Hannibal Buress, Reid Scott, Mike Judge, Riki Lindhome, Kate Micucci, Laraine Newman, Paul Scheer, Eric Bauza, Christopher McCulloch, Brendon Small, Lily Sparks, Molly Shannon, Georgette Perna, Charlyne Yi, Shannon Prynoski, Richard Christy, Bob Stephenson, Sally Kirkland, Ron Lynch, Dana Snyder, Sal ""The Stockbroker"" Governale, Cree Summer, Chris Gore, Chloe Trujillo, Jon Silberg, Scott Mosier, Laura Silverman, Tommy Blacha, Becky Boxer, Dave Willis, David Willis, Julie Galdieri, Dana Davis, John Ennis, Matthew Ballard, Jess Harnell",Andrew Kevin Walker,27%,27%
2631,The Purge: Election Year,2016,R,105 minutes,"Action & Adventure, Horror, Mystery & Suspense",,,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Edwin Hodge, Betty Gabriel, Joseph Julian Soria, Kyle Secor, Liza Colon-Zayas, Ethan Phillips, Raymond J. Barry, Adam Cantor, Christopher James Baker, Jared Kemp, Brittany Mirabile, Naeem Duren, Naheem Garcia, Steven Barkhimer, Tom Kemp, Portland Helmich, Roman Blat, David Aaron Baker, George Lee Miles, Antoine Coetzee, Drew Cooper, Johnnie Mae, Tom Paolino, Emily Petta, Alexander Cook, Juani Feliz, Jamal Peters, Matt Walton, Thomas Rhett Kee, Lonnie Farmer, Christy Coco, Hank Amos, Darcie Fisher, Alexander Schüler, Lindsey Pires, Emily Smith",James DeMonaco,53%,48%
2632,Exists,2014,R,86 minutes,Horror,,,Eduardo Sánchez,"Chris Osborn, Roger Edwards, Samuel Davis, Denise Williamson, Brian Steele, Dora Madison",Jamie Nash,32%,29%
2633,From the Land of the Moon,2017,R,116 minutes,"Art House & International, Drama, Romance",,"$45,457",Nicole Garcia,"Marion Cotillard, Louis Garrel, Alex Brendemühl, Aloïse Sauvage, Brigitte Roüan, Victoire Du Bois, Victor Quilichini, Jihwan Kim, Daniel Para, Gwendoline Fiquet","Nicole Garcia, Jacques Fieschi",32%,67%
2634,Pulling Strings,2013,PG,110 minutes,"Comedy, Drama",,"$5,831,928",Pitipol Ybarra,"Jaime Camil, Laura Ramsey, Omar Chaparro, Tom Arnold, Stockard Channing, Roberto Sosa, Catherine Papile, Renata Ybarra","Gabriel Ripstein, Oscar Orlando Torres, Issa López, Georgina Riedel",58%,71%
2635,"My Father, Die",2017,NR,90 minutes,"Action & Adventure, Drama",,"$3,229",Sean Brenden Brosnan,"Joe Anderson (VI), Gary Stretch, Candace Smith, Kevin Gage, John Schneider, Sean Brenden Brosnan, Gabe White, William Mark McCullough, Ross Britz, Thomas Francis Murphy",Sean Brenden Brosnan,69%,49%
2636,The Girl on the Train,2016,R,112 minutes,"Drama, Mystery & Suspense",,"$75,311,445",Tate Taylor,"Emily Blunt, Rebecca Ferguson, Haley Bennett, Justin Theroux, Allison Janney, Lisa Kudrow, Luke Evans, Edgar Ramirez, Laura Prepon",Erin Cressida Wilson,44%,49%
2637,Around The Block,2014,NR,104 minutes,Drama,,,Sarah Spillane,"Christina Ricci, Hunter Page-Lochard, Jack Thompson, Damian Walshe-Howling, Ruby Rose, Matt Nable, Mark Coles Smith, Daniel Henshall, Aaron McGrath, Amanda Wiltshire, Andrea Demetriades, Anthony Gee, Ash Ricardo, Billy McPherson, Bradan Pittman, Corey Carr, Damion Hunter, Elias Rees, Guy Simon, Jeremiah Pesa, Josh Quong Tart, Justin Smith, Lillian Crombie, Madeleine Madden, Marcello Fabrizi, Mark Brady, Nicholas Cassim, Niki Owen, Piper Morrissey, Rhiannon Myee, Sam Lyndon, Shai Pittman, Simone Armstrong, Sophie Gregg, Travis Cardona, Trevor Jamieson, Tyrus Shay, Ursula Yovich, Urshula Yovich, Yure Covich",Sarah Spillane,63%,40%
2638,Entanglement,2018,NR,85 minutes,"Comedy, Romance",,,Jason James,"Thomas Middleditch, Jess Weixler, Diana Bang, Johannah Newmarch, Joannah Newmarch, Nicole LaPlaca",Jason Filiatrault,60%,56%
2639,Bill,2016,NR,94 minutes,"Comedy, Kids & Family",,"$381,541",Richard Bracewell,"Mathew Baynton, Simon Farnaby, Rufus Jones, Martha Howe-Douglas, Jim Howick, Laurence Rickard, Damian Lewis, Ben Willbond","Ben Willbond, Laurence Rickard",89%,57%
2640,Toy Story That Time Forgot,2014,NR,22 minutes,"Action & Adventure, Animation",,,Steve Purcell,"Tom Hanks, Tim Allen, Kristen Schaal, Kevin Mckidd, Emily Hahn",Steve Purcell,100%,82%
2641,The Pirate Fairy,2014,G,78 minutes,"Animation, Kids & Family, Science Fiction & Fantasy",,"$5,545,809",Peggy Holmes,"Christina Hendricks, Tom Hiddleston, Mae Whitman, Angela Bartys, Raven-Symoné, Megan Hilty, Lucy Liu, Anjelica Huston, Pamela Adlon, Ron Yuan","Jeffrey M. Howard, Kate Kondell",80%,69%
2642,The Theory of Everything,2014,PG-13,123 minutes,Drama,,"$35,887,263",James Marsh,"Eddie Redmayne, Felicity Jones, Emily Watson, Charlie Cox, David Thewlis, Simon McBurney, Maxine Peake, Harry Lloyd, Alice Orr-Ewing, Thomas Morrison, Michael Marcus, Gruffudd Glyn, Paul Longley, Guy Oliver-Watts, Lucy Chappell, Charlotte Hope, Abigail Cruttenden, Nicholas Gerard, Brett Brown, Anthony Skrimshire, Christian McKay, Adam Godley, Nicola Sloane, Lottie Hamilton, Enzo Cilenti, Rufus Taylor, Delilah Sexton, Eileen Davies, Simon Chandler, Georg Nikoloff, Oliver Payne, Raffiella Chapman, Sam Houston, Victoria Emslie, Frank Leboeuf, Will Barton",Anthony McCarten,78%,84%
2643,Ha-shoter,2014,NR,105 minutes,"Art House & International, Drama",,,Nadav Lapid,"Yiftach Klein, Yaara Pelzig, Michael Mushonov, Menasheh Noy, Menashe Noi, Meital Barda, Michael Aloni, Gal Hoyberger, Ben Adams, Shaul Mizrahi, Ben Adam, Rona-Lee Shimon",Nadav Lapid,61%,47%
2644,Manifesto,2017,NR,95 minutes,"Art House & International, Drama",,"$161,101",Julian Rosefeldt,"Cate Blanchett, Erika Bauer, Carl Dietrich, Marie Borkowski Foedrowitz, Ea-Ja Kim",Julian Rosefeldt,78%,55%
2645,The Commune,2017,NR,111 minutes,"Art House & International, Drama",,"$38,265",Thomas Vinterberg,"Trine Dyrholm, Ulrich Thomsen, Helene Reingaard Neumann, Lars Ranthe, Fares Fares, Magnus Millang","Thomas Vinterberg, Tobias Lindholm",71%,59%
2646,Closer To The Moon,2015,NR,110 minutes,Drama,,,Nae Caranfil,"Vera Farmiga, Christian McKay, Joe Armstrong, Harry Lloyd, Martin Hancock, Mark Strong (II), Anton Lesser, Andrew Buckley, Allan Corduner, Monica Barladeanu, John Henshaw",Nae Caranfil,46%,53%
2647,Road Games,2016,NR,95 minutes,"Drama, Mystery & Suspense",,,Abner Pastoll,"Andrew Simpson, Josephine de la Baume, Frédéric Pierrot, Barbara Crampton, Feodor Atkine, Pierre Boulanger, Susanna Cappellaro, Edward Hogg, Lucie Belhomme, Erwan Hiernard, Clementine Alexandre, April Kelley",Abner Pastoll,83%,43%
2648,The Kingdom of Dreams and Madness,2014,NR,118 minutes,"Documentary, Special Interest",,,Mami Sunada,"Hayao Miyazaki, Hideaki Anno, Isao Takahata, John Lasseter, Toshio Suzuki",Mami Sunada,92%,88%
2649,Antisocial,2013,R,90 minutes,Horror,,,Cody Calahan,"Michelle Mylett, Cody Ray Thompson, Adam Christie, Cody Parrish Thompson, Ana Alic","Chad Archibald, Cody Calahan",0%,18%
2650,Only God Forgives,2013,R,89 minutes,"Action & Adventure, Art House & International, Drama",,"$700,000",Nicolas Winding Refn,"Kristin Scott-Thomas and Rowan Atkinson, Luke Evans, Yayaying, Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Tom Burke, Gordon Brown, Rhatha Phongam, Sahajak Boonthanakit, Byron Gibson",Nicolas Winding Refn,40%,37%
